epoch,frame,norm_fu,loss,walltime,memory,error_u
0,0,17.270035682263742,298.25413246666284,0.6118860244750977,372.640625,0.22360679774997896
1,1,14.722679644434502,216.75729591264604,0.946735143661499,430.25,0.22299468099688594
2,1,12.999266295829262,168.98092422988262,0.9472391605377197,430.25,0.22252211089520504
3,1,11.263836285817819,126.87400787370615,0.9477274417877197,430.25,0.2217170328485283
4,1,10.707470131935448,114.64991662628972,0.9481854438781738,430.25,0.22099566847385013
5,1,10.082095282471577,101.64864528483565,0.9486434459686279,430.25,0.2207863779120708
6,1,9.735250109285525,94.77509469034382,0.9490923881530762,430.25,0.22048098078381406
7,1,9.286338867494097,86.23608956193155,0.949535608291626,430.25,0.21990441708241087
8,1,8.601109570346352,73.97908584110363,0.949974775314331,430.25,0.21873932634762192
9,1,8.44005760491145,71.2345723742236,0.9504189491271973,430.25,0.21739881802436684
100,1,1.667021700622534,2.778961350346446,1.0024685859680176,430.359375,0.1742748941588644
200,1,0.6848291400757457,0.4689909510968853,1.0641405582427979,430.484375,0.16026378343735156
300,1,0.2916740758077883,0.08507376649832743,1.1266553401947021,430.5625,0.15593325959892718
400,1,0.10379016709045819,0.01077239878466523,1.185403823852539,430.640625,0.155239459135321
500,1,0.0703539582206027,0.0049496794373063095,1.246042251586914,430.703125,0.15496581591670847
600,1,0.06310467828916606,0.003982200421979146,1.3056113719940186,430.75,0.1548810087266041
700,1,0.05511781643417502,0.003037973688471414,1.3638114929199219,430.796875,0.15464860572328834
800,1,0.046434772544407414,0.0021561881012508526,1.4250142574310303,429.765625,0.1543980578505227
900,1,0.04404659900656932,0.0019401028840455134,1.4947569370269775,427.21875,0.15433334582246847
1000,1,0.0418226721764304,0.0017491359079771659,1.5583255290985107,427.25,0.15416363250586512
1100,2,0.039770089876664,0.0015816600487979326,1.6243963241577148,437.375,0.1539946478787463
1200,2,0.039319264047962564,0.0015460045252734013,1.688251256942749,437.390625,0.15392462708053542
1300,2,0.03924567269162517,0.0015402228250181735,1.7535150051116943,429.3125,0.15389435533724755
1400,2,0.03922279399665273,0.0015384275689038576,1.8162872791290283,429.3125,0.15383028202809282
1500,2,0.03919130573025579,0.0015359584448423802,1.878448724746704,429.3125,0.15367662882315708
1600,2,0.039081753522282985,0.0015273834583764783,1.940051555633545,429.3125,0.152984474231999
1700,2,0.03880556996439848,0.0015058722602618259,2.0017638206481934,429.328125,0.15117501075274928
1800,2,0.03843390605554997,0.0014771651346868406,2.063742160797119,429.5625,0.14862537495565503
1900,2,0.036551617591543115,0.0013360207485584041,2.1237339973449707,429.59375,0.13627417900381508
2000,2,0.03246832450107744,0.0010541920959072659,2.1832094192504883,429.609375,0.11158062456054436
